Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,New London Parking Authority - Water Street Public Parking Garage,2,4,,41.355486,-72.093784
ELEC,Town of Westport - Westport Metro North,1,1,,41.119291,-73.369266
ELEC,Park 'N Fly - Bradley International Airport,,2,,41.951328,-72.663078
ELEC,GATEWAYKENOSHA  HORIZON MAINLOT,,2,,42.592469,-87.915847
ELEC,MGE GREENWAY STAT,,2,,43.091229,-89.52884
ELEC,Spinx #149,1,1,,34.042116,-80.939041
ELEC,Baker Electric Building,,1,,41.503373,-81.639054
ELEC,McDonald's,,2,,38.417603,-82.456866
ELEC,OUC OC BARNETT 1,,2,,28.560572,-81.441748
ELEC,OUC OC MARKS ST 01,,2,,28.556879,-81.377632
ELEC,OUC OUC OCCC 03,,2,,28.429015,-81.458938
ELEC,OUC OC W LIBRARY 01,,2,,28.528024,-81.44774
ELEC,OUC OC MED EXAM 01,,2,,28.512494,-81.351919
ELEC,French Gerleman,,1,,38.694036,-90.4218
ELEC,HILLSBORO OR MAIN ST 1,,2,,45.522609,-122.988535
ELEC,HILLSBORO OR EV-8,,2,,45.520533,-122.978089
ELEC,BELLEVUE BELLEVUE CH 1,,2,,47.614744,-122.193162
ELEC,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,,1,,45.509326,-122.666392
ELEC,Liberty Park,,4,,40.74686,-111.876
ELEC,Salt Lake City Main Library,2,1,,40.759561,-111.883924
ELEC,The Evergreen State College,,1,,47.071917,-122.976675
ELEC,The Hartford Financial Services Group - Lot 4,,2,,41.770428,-72.687141
ELEC,The Hartford Financial Services Group,,3,,41.879631,-72.729919
ELEC,JCCC MTC,,2,,38.92591,-94.72819
ELEC,Courtyard Marriott - Hadley Amherst,,1,,42.36262,-72.5395
ELEC,City of Delray Beach - Banker's Row Parking Lot,,3,,26.465314,-80.07219
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,,2,,47.545324,-122.0195
ELEC,King County - King County Van Distribution Center,,3,,47.675897,-122.091237
ELEC,Eversource,,2,,41.765253,-72.671569
ELEC,SEAPORT GARAGE EAST GARAGE2 P1,,2,,42.349249,-71.041557
ELEC,City of Columbia - Cannon Garage,,10,,34.00741493,-81.0348006
ELEC,City of Columbia - Washington Street Garage,,2,,34.003323,-81.035693
ELEC,City of Columbia - Arsenal Hill Garage,,2,,34.008409,-81.041802
ELEC,City of Columbia - Lincoln Street Garage,,2,,34.002255,-81.040219
ELEC,Greenville Zoo,,2,,34.84709,-82.387269
ELEC,City of Greenville - Poinsett Garage,,4,,34.849724,-82.400667
ELEC,City of Greenville - Spring Street Garage,,2,,34.849889,-82.397797
ELEC,City of Greenville - Church Street Garage,,2,,34.852754,-82.393113
ELEC,City of Columbia - Park Street Garage,,2,,33.997786,-81.036161
ELEC,City of Greenville - Commons Garage,,2,,34.852789,-82.396195
ELEC,City of Greenville - Liberty Square Garage,,2,,34.85335,-82.394826
ELEC,City of Greenville - Richardson Garage,,2,1,34.852437,-82.399901
ELEC,City of Rock Hill - Municipal Garage,,2,,34.925782,-81.028444
ELEC,Timken Sports Complex,,2,,34.716556,-81.648482
ELEC,Lockhart Power,,2,,34.77993955,-81.45735907
ELEC,Toyota of Santa Monica,,3,,34.019875,-118.49151
ELEC,Parc 55 Hotel,,1,,37.784871,-122.408991
ELEC,Beach & Hyde Garage,,5,,37.806798,-122.419488
ELEC,City of Santa Monica - Civic Parking Garage,,12,2,34.010528,-118.4898
ELEC,Denver International Airport - Canopy Airport Parking,18,9,1,39.843886,-104.771138
ELEC,Town of Superior - Town Hall,,2,,39.953798,-105.166116
ELEC,Charles Hotel - Harvard Square,1,4,,42.372442,-71.122882
ELEC,Town of Dyer - Town Hall,,2,,41.492057,-87.522819
ELEC,Peaches Bed & Breakfast,,1,,42.962078,-85.659019
ELEC,ComEd,,14,,41.94629288,-87.69982
ELEC,ComEd,,26,,41.75497055,-87.71321
ELEC,City Hall Annex - Town of Normal,,2,,40.507796,-88.982897
ELEC,College Avenue Parking Deck,,3,,40.511172,-88.984985
ELEC,State of Illinois - Governor's Mansion,,1,,39.79628,-89.6504
